공간정보일련번호,지형지물부호,등록구,관리기관,명칭,구경,형식,제작회사,최대유량,설치일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
377,유량계,사상구,북부사업소,24블록 유량계,200,전자식,서용엔지니어링,0,2021-05-27,사상가압장(신설),양호,상수맨홀,사상구,블록
616,유량계,북구,북부사업소,8-2블록 유량계,150,전자식,서용,0,2021-05-27,만덕1배수지,양호,상수맨홀,북구,블록
284,유량계,사상구,시설관리사업소,학장,2200,전자식,ABB,0,2021-05-26,사상가압장(신설),양호,-,사상구,권역
610,유량계,해운대구,시설관리사업소,올림픽,1350,전자식,ABB,285480.99,2021-05-26,덕천가압장(시내),양호,상수맨홀,해운대구,권역
108,유량계,연제구,시설관리사업소,망미토곡,800,전자식,ABB,0,2021-05-26,덕천가압장(시내),양호,상수맨홀,연제구,권역
521,유량계,서구,사하사업소,비교검침 유량계설치공사,50,익차형,삼성계기공업,0,2021-05-25,아미부스터,양호,-,서구,-
114,유량계,부산진구,부산진사업소,34블록 유량계,200,전자식,서용엔지니어링,0,2021-05-04,개금1배수지,양호,-,부산진구,블록
211,유량계,부산진구,부산진사업소,36블록 유량계,150,전자식,서용엔지니어링,0,2021-05-04,개금1배수지,양호,-,부산진구,블록
361,유량계,부산진구,부산진사업소,1블록 유량계,250,초음파식,서용엔지니어링,0,2021-05-04,신당감가압장,양호,-,부산진구,블록
400,유량계,부산진구,부산진사업소,38블록 유량계,150,전자식,서용엔지니어링,0,2021-05-04,수정산터널배수지,양호,-,부산진구,블록
310,유량계,기장군,기장사업소,2블록 유량계,250,전자식,(주)서용엔지니어링,296678.34,2021-04-30,봉대산배수지,양호,상수맨홀,기장군,블록
358,유량계,기장군,기장사업소,14-1블록 유량계,400,초음파식,(주)서용엔지니어링,303161.87,2021-04-30,정관지구저지배수지,-,상수맨홀,기장군,블록
407,유량계,기장군,기장사업소,14-2블록 유량계,500,초음파식,(주0서용엔지니어링,0,2021-04-30,정관지구저지배수지,-,-,기장군,블록
516,유량계,기장군,기장사업소,14블록 유량계,500,초음파식,(주)서용엔지니어링,0,2021-04-30,정관지구고지배수지,양호,-,기장군,블록
611,유량계,기장군,기장사업소,13블록 유량계,200,전자식,(주)서용엔지니어링,0,2021-04-30,개좌골가압장,양호,-,기장군,블록
352,유량계,기장군,기장사업소,14-3블록 유량계,350,초음파식,(주)서용엔지니어링,301939.15,2021-04-30,정관산단배수지,양호,상수맨홀,기장군,블록
393,유량계,해운대구,해운대사업소,반여1동 제13블록 유량계,300,전자식,(주)서용엔지니어링,0,2021-04-26,명장정수장(가압),양호,상수맨홀,해운대구,블록
420,유량계,해운대구,해운대사업소,좌1동 제27블록 유량계,300,전자식,(주)서용엔지니어링,286482.49,2021-04-26,덕천가압장(시내),양호,상수맨홀,해운대구,블록
491,유량계,해운대구,해운대사업소,반송1동 제1블록 유량계,250,전자식,서용엔지니어링,292288.4,2021-04-26,명장정수장(가압),양호,상수맨홀,해운대구,블록
494,유량계,해운대구,해운대사업소,송정동 제32블록유량계,300,전자식,서용엔지니어링,0,2021-04-26,좌동2배수지,양호,상수맨홀,해운대구,블록
663,유량계,서구,서부사업소,13블록 유량계,250,초음파식,(주)HSCMT,0,2021-04-19,대티배수지,양호,-,서구,블록
550,유량계,서구,서부사업소,20블록 유량계,250,초음파식,(주)HSCMT,0,2021-04-19,복병산배수지,양호,-,서구,블록
37,유량계,동래구,시설관리사업소,온천전철,1000,초음파식,대덕,0,2021-04-08,오륜배수지,양호,-,동래구,권역
11,유량계,강서구,시설관리사업소,수관교2,2200,초음파식,대덕,0,2021-04-08,덕산정수장(생활직송),양호,-,강서구,권역
